性别,年龄,悲伤 - 患者反应 1,悲伤 - 患者反应 2,悲伤 - 患者反应 3,悲伤 - 这是由特定事件引起的吗？,悲伤 - 这是由最近或遥远的事件（或事件）引起的吗？,悲伤 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 您最近是否尝试过协议 11 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 谢谢。现在我会问一些问题以了解您的情况。,悲伤 - 您是否对某人有强烈的感受或表达以下任何情绪：,悲伤 - 你认为你应该成为别人的救世主吗？,悲伤 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,悲伤 - 你觉得你在试图控制某人吗？,悲伤 - 当出现问题时，您是否总是责怪和指责自己？,悲伤 - 在之前的对话中，您是否考虑过其他提出的观点？,悲伤 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,愤怒 - 患者反应 1,愤怒 - 患者反应 2,愤怒 - 患者反应 3,愤怒 - 这是由特定事件引起的吗？,愤怒 - 这是由最近或遥远的事件（或多个事件）引起的吗？,愤怒 - 您最近是否尝试过协议 6，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 谢谢。现在我会问一些问题以了解您的情况。,愤怒 - 您是否对某人有强烈的感受或表达以下任何情绪：,愤怒 - 你认为你应该成为别人的救星吗？,愤怒 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,愤怒 - 你觉得你在试图控制某人吗？,愤怒 - 当出现问题时，您是否总是责怪和指责自己？,愤怒 - 在之前的对话中，您是否考虑过其他提出的观点？,愤怒 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,焦虑 - 患者反应 1,焦虑 - 患者反应 2,焦虑 - 患者反应 3,焦虑 - 这是由特定事件引起的吗？,焦虑 - 这是由最近或遥远的事件（或多个事件）引起的吗？,焦虑 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,焦虑 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,着急 - 谢谢。现在我会问一些问题以了解您的情况。,焦虑 - 您是否对某人强烈感受到或表达了以下任何情绪：,焦虑 - 你认为你应该成为别人的救星吗？,焦虑 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,焦虑 - 你是否觉得你在试图控制某人？,焦虑 - 当出现问题时，您是否总是责怪和指责自己？,焦虑 - 在之前的对话中，您是否考虑过其他提出的观点？,焦虑 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,快乐 - 患者反应 1,快乐 - 患者反应 2,快乐 - 患者反应 3,快乐 - 那很好！让我推荐一个您可以尝试的协议。,所有情绪 - 根据您所说的，我相信您正在感受{}。这个对吗？,所有情绪 - 我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,所有情绪 - 感谢您的参与。再见,所有情绪 - 这是我的建议，请选择您想尝试的协议,所有情绪 - 请现在尝试通过此协议。完成后，按“继续”,所有情绪 - 采取此协议后，您感觉更好还是更糟？,所有情绪 - 您想尝试另一种协议吗？ （病人感觉好多了）,所有情绪 - 您想尝试另一种协议吗？ （病人感觉更糟）
男性,40-49,我做得不太好。,我今天很难过。,我并不像我想的那样快乐。,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？,了解您处理此问题的时间很重要。请问这是最近发生的事件还是遥远的事件？,我们过去的事件可能会引发情绪高涨。你在做协议 6 时是否经历过强烈的负面情绪？,我们最近发生的事件可能会引发情绪高涨。您在执行协议 11 时是否经历过强烈的负面情绪？,我很感激你与我分享这个。如果您觉得合适，我希望您现在提供更多信息给我。,您自己是否经历过这些负面情绪和/或向其他人展示过这些负面情绪：,,,,,,,我很心烦。,我很生气。,我对某人生气。,哦，我很遗憾听到它，我想更多地了解是什么让你有这种感觉。是因为某个特定的事件吗？,最近或很久以前的事件是你有这种感觉的原因吗？,谢谢，我能理解。完成协议 6 是否让您重温了这次令人不安的事件的情绪？,谢谢，我能理解。完成协议 11 是否让您重温了这次令人不安的事件的情绪？,我现在想获得更多信息，以便更好地帮助您。,很抱歉你感觉不好，想通过更多调查来帮助你。您是否表达过或经历过以下任何负面情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我感觉没那么好。,我昨天和朋友闹翻了,我今天好难过,哦，听到这个我很抱歉。是特定情况导致的吗？,这是由最近或遥远的事件引起的吗？,您最近是否尝试过协议 6 并发现由于旧的记忆而重新点燃了这种无法控制的感觉？,你最近有没有尝试过协议 11 并发现这种由于最近的记忆而重新点燃的无法控制的感觉？,很抱歉听到你的麻烦。我现在要问一些问题，以了解您的情况。,您是否对某人有以下感受或表达过以下感受：,,,,,,,我今天感觉不太好。,我对同事的行为感到愤怒。,真的受够了这个。,这是由特定情况引起的吗？,这是由最近或遥远的情况引起的吗？,最近，您是否尝试过协议 6 并发现它从旧情况中带回了负面情绪？,最近，您是否尝试过协议 11 并发现它从旧情况中带回了负面情绪？,现在我会问一些问题以更好地理解这种情况。,您是否对某人明确感受到或表达了以下任何感受：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,特别糟糕,我想哭,我很郁闷,有没有发生什么事情让你有这种感觉？,事件是最近发生的还是过去发生的？,重温过去的负面事件会让您感到非常不舒服吗？,重温最近发生的这件负面事件，您真的会感到不自在吗？,谢谢你向我解释这个。我想问一些后续问题。,您是否对他人有以下强烈的情绪：,,,,,,,我很生气,我想喊,我很不高兴,有没有人或事让你生气？,这个事件是最近发生的还是很久以前发生的？,如果您尝试过协议 6，这是一种困难的体验吗？,如果您尝试过协议 11，这是一种困难的体验吗？,我要感谢你如此开放。如果你不介意，我现在再问你一些问题。,在您的生活中，您是否对其他人有以下任何情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我心情不好。,我觉得自己很糟糕。,我觉得有点绝望。,你认为有什么特别的事情让你有这种感觉吗？你可以对我敞开心扉。,谢谢，我想知道您认为您生活中的什么事件引发了这种感觉。这是最近发生的事件还是更遥远的过去？,你认为现在回想这件事会伤害你吗？,你认为现在回想这件事会伤害你吗？,为了详细了解您有这种感觉的原因，如果可以的话，我现在想请教您一些问题。,我很感谢你分享的感受。请问您是否有过以下感受：,,,,,,,我他妈的气死了。,我厌倦了这种狗屎。,我完全疯了。,谢谢，我想更好地了解正在发生的事情。请告诉我，这是由特定事件引起的吗？,这个事件和你感受到的情绪是最近发生的，还是由遥远的过去发生的事情引起的？,您是否认为尝试协议 6（如果您最近这样做）会在这里产生负面影响？,你认为尝试协议 11，如果你最近这样做了，在这里有负面影响吗？,很好，谢谢你的坦率和诚实。我想问一些问题，以便更好地了解您的情况。,您是否有任何这些强烈的情绪和/或您曾与任何人专门讨论过这些情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,由于我的健康状况，感觉非常糟糕。,由于无法参加家庭活动，我感觉不太好。,我没有那么好，因为我被上级骂了。,你还记得是否有什么事情让你有这种感觉吗？,请问是最近发生的还是很久以前的？,您是否尝试过使用协议 6 并且它是否带回了不舒服的情绪？,您是否尝试过使用协议 11 并且它是否带回了不舒服的情绪？,我很欣赏你的开放。我还有几件事想了解。,最近您是否对他人有以下任何一种感觉：,,,,,,,我感到非常生气，因为一个陌生人袭击了我。,我感到非常生气，因为我的儿子不听从我的指示。,我感到非常生气，因为我姐姐伤害了我很多。,有没有一件特别的事情让你有这种感觉？,你开始有这种感觉是因为最近发生的事情，还是更遥远的过去重新出现的事情？,你有没有尝试过协议 6，你是否发现它引发了你过去无法控制的情绪？,你有没有尝试过协议 11，你是否发现它引发了你过去无法控制的情绪？,我希望我们今天能解决问题，让你感觉更好。我还有几个问题要问是否可以。,您是否对另一个人真正感受到或采取了以下任何一种情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,50-59,我觉得很难受。,我想我不能再继续下去了。,我的生活一片混乱。,你能想到让你开始有这种感觉的具体事件吗？,这是由于最近或更远的事件引起的吗？,您最近是否尝试过协议 6，并发现它使过去事件产生的无法控制的情绪恢复生机？,您最近是否尝试过协议 11，并发现它使最近发生的事件引起的无法控制的情绪恢复生机？,非常感谢。现在，如果可以的话，我将尝试更好地了解您的情况。,您是否对任何人经历或表现出以下任何情绪：,,,,,,,每个人都反对我——我的老板、我的丈夫和我的孩子。,我太生气了，我可以杀了人。,我对家乡的情况感到非常生气。,是否有特定事件导致了这种情况？,你会说最近或遥远的事件导致了这种情况吗？,您最近是否尝试过协议 6 并经历过因过去的事件而导致您无法控制的重新点燃的情绪？,您最近是否尝试过协议 11，并经历过因过去的事件而导致您无法控制的重新点燃的情绪？,感谢您迄今为止的合作。如果您同意，我想继续提出一些问题，以便更好地了解您的情况。,您是否对任何人经历或表现出以下任何情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,50-59,感觉嗡嗡声今天工作不顺利。,只是感觉真的处于我生命中的低谷，似乎什么都不对。,我今天失去了一个亲密的朋友，感到非常难过和孤独。,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,有这种感觉是可以的。这个事件是最近发生的还是不久前发生的？,协议 6 可以唤起您可能很久都没有感受到的情绪，所以我想知道这是否是您的正确选择。有没有可能你最近尝试了协议 6，这又重新点燃了这些负面情绪？,协议 11 可以唤起您一段时间内可能没有感受到的情绪，所以我想知道它是否是您的正确选择。有没有可能你最近尝试了协议 11，这又重新点燃了负面情绪？,我明白你正在经历什么。我现在想问一些问题，以进一步了解您的困境。,困难的情况会使我们的情绪感到紧张。您是否有任何这些强烈的感受和/或您向另一个人表达过它们：,,,,,,,我对我的朋友很生气，因为他不服从我。,我对我弟弟很生气。,我对我朋友的不当行为感到愤怒。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,25-29,不好，我在工作中度过了紧张的一天。,好吧，我想。,我累了;一切都感觉像是一种努力。,有没有什么特别让你感到难过的事情？,,您是否尝试遵循协议 6，如果是这样，您是否感到不安？,您是否尝试遵循协议 11，如果是这样，您是否感到不安？,谢谢分享，我是来听的。请让我再问你几个问题。,您最近是否经历过以下情绪：,,,,,,,我很生气。,我只是觉得最近很生气。,我有很多事情要做；我生气了。,是不是发生了什么特别的事情激起了你的愤怒？,触发是最近发生的事件，还是遥远的事件？,是否遵循协议 6，如果你有，激起任何不愉快的感觉？,遵循协议 11（如果有）是否激起了任何不愉快的感觉？,你现在的感受是一种有效的情绪。我想问一些问题以了解您来自哪里。,如果我问你，你最近有没有表达过这些情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我真的感到很失落和悲伤。我的伙伴和分手了。,今天我心情非常低落。我只是没有一个美好的早晨。,我真的很沮丧，有点绝望。我想我很沮丧。,有没有发生什么特别的事情让你有这种感觉？,我明白。这是最近发生的还是在遥远的过去发生的事情？,感谢您如此开放，我正在努力确定帮助的最佳方式，并知道重新审视创伤有多么困难。我很好奇协议 6 是否对你来说太痛苦了？,感谢您如此开放，我正在努力确定帮助的最佳方式，并知道重新审视创伤有多么困难。我很好奇协议 11 是否对你来说太痛苦了？,感谢您如此开放，我知道这有多难。我还有几个问题要尝试更好地了解您所处的位置以及如何提供帮助。,我将向您展示一系列不健康的情绪，但有时会向他人感受或表达这些不健康的情绪。如果您对生活中的人经历过以下任何一种情绪，请告诉我：,,,,,,,我现在很生气，我不知道为什么。,我气得快要爆炸了——我哥哥真的知道如何按我的按钮。,我很生气，觉得没有人尊重我。,明白了，谢谢分享有没有发生什么让你有这种感觉的具体事情？,知道了。这是多久以前，最近还是很久以前？,协议 6 是难度更大的练习之一，并不适合所有情况；我正在尝试确定它是否适合您。您是否尝试过协议 6 并发现它太难了？,协议 11 是一项更艰巨的练习，并不适合所有情况；我正在尝试确定它是否适合您。您是否尝试过协议 11 并发现它太难了？,感谢您到目前为止的耐心等待。我还有几个问题可以更好地确定如何提供帮助。,我们都会感受到某些情绪，但如果我们专注于它们或根据它们采取行动，那可能是不健康的。最近几天，您是否对以下任何情绪感到非常强烈或向他人表达过这些情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我真的很不高兴，我的小狗昨天跑了，我到处都找不到他。,我感觉很糟糕，我没有通过我的课程，我不会毕业。,非常难过，我正在重温周年纪念日的悲伤日子。,这种感觉是由特定事件引起的吗？,对不起，那一定很难。是最近发生的事情还是很久以前发生的事情？,您是否尝试执行协议 6，如果是这样，是否会引发不舒服的感觉？,您是否尝试执行协议 11，如果是这样，是否会引发不舒服的感觉？,我理解你很伤心，在这种复杂的情况下这是完全有道理的。我现在有几个问题要问您，以帮助我了解正在发生的事情。,您是否对另一个人感受到或表现出以下任何情绪：,,,,,,,糟糕的,我很生气,我一点都不开心,是否发生了某个或多个事件导致您出现这种情况？,这是最近发生在你身上的事情，还是来自你更遥远的过去？,您是否尝试过协议 6 并让您感到不知所措？,您是否尝试过协议 11 并让您感到不知所措？,你很坚强，我相信如果我们一起努力，这一切都会过去，你会感觉更好。我现在很想再问一些问题，以便我能理解。,在您的生活中，您是否对他人有强烈的以下情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,25-29,不太好，今天早上我下雨了。,老实说，我做得不好。我考试不及格。,太可怕了，昨晚有人闯入我家。,这是因为什么特别的事情吗？,这种感觉是因为最近或遥远的事件而产生的吗？,您最近是否尝试过方案 6 并因此重温了创伤性事件？,您最近是否尝试过协议 11 并因此重温了创伤性事件？,谢谢你。我现在会问你几个问题，以便更好地了解你的情况。,您最近是否对任何人有过以下情绪：,,,,,,,我现在感到很生气。,我很生气。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我已经好多了。,不太好，不幸的是。,今天我的心情很沉重。,你能想到发生这种情况的具体原因吗？,你能告诉我更多关于发生的事情吗？这个事件是遥远的还是最近的？,您是否尝试过协议 6 并且可能发现这并没有像您希望的那样提供帮助？,您是否尝试过协议 11 并且可能发现这并没有像您希望的那样有帮助？,谢谢你今天和我分享这个。我还有一些问题要问，以帮助更好地了解您的情况。,我想知道有些情绪最近是否出现在你的生活中。您是否认同以下任何一种情绪：,,,,,,,我一点都不好。其实挺烦的。,我现在很生气。,我很生气，想要感觉好点。,我明白了，谢谢你和我分享你的感受，我想知道更多发生的事情。这是由特定原因引起的吗？,感谢你的分享。这是最近发生的事情还是很久以前发生的事情？,如果您尝试过协议 6，结果如何，是否勾起了不好的回忆？,如果您尝试过协议 11，结果如何，是否勾起了不好的回忆？,谢谢你和我分享这个。我还有几个问题可以帮助我了解情况。,您是否会说您最近对任何人感到或表达了以下任何情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
